id,name,lat,lon
1,Van Cortlandt Park - 242 St,40.889248,-73.898583
2,238 St,40.884667,-73.90087
3,231 St,40.878856,-73.904834
4,Marble Hill - 225 St,40.874561,-73.909831
5,215 St,40.869444,-73.915279
6,207 St,40.864621,-73.918822
7,Dyckman St,40.860531,-73.925536
8,191 St,40.855225,-73.929412
9,181 St,40.849505,-73.933596
10,168 St and 168 St - Washington Hts,40.840637,-73.939847
11,157 St,40.834041,-73.94489
12,145 St,40.826551,-73.95036
13,137 St - City College,40.822008,-73.953676
14,125 St,40.815581,-73.958372
15,116 St - Columbia University,40.807722,-73.96411
16,Cathedral Pkwy,40.803967,-73.966847
17,103 St,40.799446,-73.968379
18,96 St,40.793919,-73.972323
19,86 St,40.788644,-73.976218
20,79 St,40.783934,-73.979917
21,72 St,40.778453,-73.98197
22,66 St - Lincoln Center,40.77344,-73.982209
23,59 St - Columbus Circle,40.768271,-73.981832
24,50 St,40.761728,-73.983849
25,42 St - Port Authority Bus Terminal and Times Sq - 42 St,40.755746,-73.987581
26,34 St - Penn Station,40.750373,-73.991057
27,28 St,40.747215,-73.993365
28,23 St,40.744081,-73.995657
29,18 St,40.74104,-73.997871
30,14 St and 6 Av,40.737796,-73.997732
31,Christopher St - Sheridan Sq,40.733422,-74.002906
32,Houston St,40.728251,-74.005367
33,Canal St,40.722854,-74.006277
34,Franklin St,40.719318,-74.006886
35,Chambers St,40.715478,-74.009266
36,WTC Cortlandt,40.711835,-74.012188
37,Rector St,40.707366,-74.013563
38,South Ferry and Whitehall St,40.702577,-74.013329
39,Wakefield - 241 St,40.903125,-73.85062
40,Nereid Av,40.898379,-73.854376
41,233 St,40.893193,-73.857473
42,225 St,40.888022,-73.860341
43,219 St,40.883895,-73.862633
44,Gun Hill Rd,40.87785,-73.866256
45,Burke Av,40.871356,-73.867164
46,Allerton Av,40.865462,-73.867352
47,Pelham Pkwy,40.857192,-73.867615
48,Bronx Park East,40.848828,-73.868457
49,E 180 St,40.841894,-73.873488
